_start meta data,,,,,,,,,,,,,,
_update_action,SKU,Ordem,Nome_comercial,Descricao,Descricao_Canais,Preco,URL_Imagem,URL_Imagem2,Caracteristicas,URL_Imagem_Destaque,URL_Img_Dest_Desktop,Title_Imagem_Destaq,Alt_Imagem_Destaq,Texto_Legal
String,String,Integer,String,String,String,Float,String,String,String,String,String,String,String,String
,,,,,,,,,,,,,,
_end meta data,,,,,,,,,,,,,,
modify,movel_conteudo_oi_play_colecao_oi,5,Coleção Oi,"Um catálogo com mais de 2 mil títulos de filmes (Detona Ralph © Disney), séries e desenhos animados.",,0,https://ofertas.oi.com.br/file/general/icon-colecao-oi.png,https://ofertas.oi.com.br/file/general/icon-colecao-oi.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-colecao-oi.png,https://ofertas.oi.com.br/file/general/imagem-colecao-oi.png,Detona Ralph,Personagens Ralph e Vanellope do desenho Detona Ralph,
modify,movel_conteudo_oi_play_fox_plus,0,Plano Fox+,"11 canais com séries, como Atlanta e The Walking Dead, além de esportes e desenhos animados.","11 canais do grupo Fox. Filmes, séries, documentários e esportes ao vivo.",34.9,https://ofertas.oi.com.br/file/general/icon-fox.png,https://ofertas.oi.com.br/file/general/icon-foxPlus.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-britannia-fox-plus-1.png,https://ofertas.oi.com.br/file/general/imagem-britannia-foxplus.png,Bolha Oi,Bolha laranja da Oi,
modify,movel_conteudo_oi_play_espn,2,WatchESPN,"O melhor conteúdo esportivo pra você assistir onde e quando quiser. Premier League, La Liga, NFL, NBA, MLB, NHL, e Sports, XGames, filmes, documentários e muito mais.",4 canais do grupo ESPN. Esportes variados ao vivo e documentários.,12.9,https://ofertas.oi.com.br/file/general/icon-logo-watch-espn.png,https://ofertas.oi.com.br/file/general/icon-watch-espn.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-2-nfl-watch-espn.png,https://ofertas.oi.com.br/file/general/imagem-2-nfl-watch-espn.png,Bolha Oi,Bolha laranja da Oi,
modify,movel_conteudo_oi_play_crackle,7,Crackle,"Serviço de streaming com filmes, séries e produções exclusivas como Preacher, Powers e muito mais.",,12.9,https://ofertas.oi.com.br/file/general/icon-crackle.png,https://ofertas.oi.com.br/file/general/icon-crackle.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-preacher-crackle-mobile.png,https://ofertas.oi.com.br/file/general/imagem-preacher-crackle.png,Bolha Oi,Bolha laranja da Oi,
modify,movel_conteudo_oi_play_hbo_go,1,HBO GO,"Sucessos de bilheteria e séries originais como Ballers, Game of Thrones, WestWorld e muito mais.",,34.9,https://ofertas.oi.com.br/file/general/icon-hbo-go.png,https://ofertas.oi.com.br/file/general/icon-hbo-go.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-ballers-hbo-go-mobile.png,https://ofertas.oi.com.br/file/general/imagem-ballers-hbo-go.png,WestWorld,Personagem Dolores Abernathy da série WestWorld,"Ballers. Classificação indicativa (16 anos)<br>©2018 HBO Ole Partners. All rights reserved. HBO® and HBO GO® are registered trademarks of Home Box Office, Inc."
modify,movel_conteudo_oi_play_discovery_kids_on,3,Discovery Kids ON,"Canal digital da Discovery Kids com desenhos animados como Doki, Peppa Pig, My Little Pony e outros.",,12.9,https://ofertas.oi.com.br/file/general/icon-discovery-kids-on.png,https://ofertas.oi.com.br/file/general/icon-discovery-kids-on.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-doki-discovery-kids-on-mobile.png,https://ofertas.oi.com.br/file/general/imagem-doki-discovery-kids-on.png,Bolha Oi,Bolha laranja da Oi,
modify,movel_conteudo_oi_play_noggin,4,Noggin,"App oficial do canal Nick Jr com jogos, músicas e episódios completos da Patrulha Canina, Dora e muito mais.",,6.9,https://ofertas.oi.com.br/file/general/icon-noggin.png,https://ofertas.oi.com.br/file/general/icon-noggin.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-patrulha-canina-noggin.png,https://ofertas.oi.com.br/file/general/imagem-patrulha-canina-noggin.png,Bolha Oi,Bolha laranja da Oi,
modify,movel_conteudo_oi_play_telecine_play,6,Telecine Play,"O melhor cinema da internet. São 1800 filmes, de princesas a heróis, está todo mundo aqui.",,37.9,https://ofertas.oi.com.br/file/general/icon-telecine-play.png,https://ofertas.oi.com.br/file/general/icon-telecine-play.png,Lorem Ipsum,https://ofertas.oi.com.br/file/general/imagem-thor-telecine-play-3-mobile.png,https://ofertas.oi.com.br/file/general/imagem-thor-telecine-play.png,Bolha Oi,Bolha laranja da Oi,
